roi,win_rate,hands_played,final_bankroll,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_J,card_Q,card_K,card_A,ace_adjustment,bet_threshold,bet_increment,max_bet_units
-0.06566147859922179,0.409,1000,9325,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,3,3,20
-0.050724637681159424,0.425,1000,9475,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,3,5,20
-0.029669260700389104,0.433,1000,9695,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,3,7,20
0.013592233009708738,0.45,1000,10140,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,4,5,20
-0.03271484375,0.423,1000,9665,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,4,3,20
-0.060916179337231965,0.42,1000,9375,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,4,7,20
-0.016617790811339198,0.442,1000,9830,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,5,3,20
-0.007782101167315175,0.435,1000,9920,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,5,5,20
0.0029296875,0.439,1000,10030,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,5,7,20
0.019961051606621226,0.453,1000,10205,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,6,3,20
0.005819592628516004,0.441,1000,10060,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,6,5,20
0.014132553606237816,0.448,1000,10145,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,6,7,20
-0.003388189738625363,0.451,1000,9965,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,3,3,20
0.02303921568627451,0.445,1000,10235,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,3,5,20
-0.018446601941747572,0.433,1000,9810,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,3,7,20
-0.04312015503875969,0.424,1000,9555,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,4,3,20
0.013605442176870748,0.447,1000,10140,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,4,5,20
-0.014050387596899225,0.441,1000,9855,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,4,7,20
-0.02475728155339806,0.441,1000,9745,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,5,3,20
-0.0029069767441860465,0.447,1000,9970,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,5,5,20
