roi,win_rate,hands_played,final_bankroll,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_J,card_Q,card_K,card_A,ace_adjustment,bet_threshold,bet_increment,max_bet_units
-0.03549486842572534,0.42953020134228187,27416,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,3,5,20
-0.0347386347838176,0.43023711891602784,28045,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,5,5,20
-0.034408010184771014,0.4284957440045209,28313,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,5,3,20
-0.03149122530640537,0.42985780455414113,30873,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,4,7,20
-0.031894874493668866,0.43066553236044763,30562,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,4,7,20
-0.032232070910556,0.43036760083380204,30223,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,6,5,20
-0.03396277679663089,0.43142040304023427,28682,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,5,3,3,20
-0.027083784955560374,0.43284287820209716,35953,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,3,3,20
-0.03498583073855089,0.4290730588698986,27909,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,6,3,20
-0.02578356765123178,0.43350929782210784,37697,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,3,7,20
-0.0307841567081434,0.43169519951900254,31601,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,5,7,20
-0.030286510388273062,0.43008349629077813,32217,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,5,7,20
-0.027510183859958164,0.4358322026232474,35376,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,5,7,20
-0.026848071344149564,0.433489784649365,36220,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,6,5,20
-0.029126355053036485,0.4309854942425602,33435,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,5,5,20
-0.024622471854753282,0.43188479029813037,39580,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,6,3,20
-0.026250164063525396,0.4331292645432725,37079,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,5,5,20
-0.02368938478667709,0.43491059481814864,41105,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,4,5,20
-0.023693255896645726,0.4331662692813002,41102,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,4,3,20
-0.025429981681253818,0.43467809364548493,38272,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,5,5,20
-0.023330454471184148,0.4345553504207927,41707,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,6,7,20
-0.025127586293586746,0.43462504206466307,38631,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,3,3,20
-0.024775668038272768,0.43313073773618493,39323,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,6,3,20
-0.02322366280961011,0.4344000381533766,41936,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,5,7,20
-0.022668540599356215,0.43606503989392636,42989,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,3,7,20
-0.022026916892442565,0.43495567215487607,44216,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,4,5,20
-0.02379649239702068,0.4342147102707727,40883,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,6,7,20
-0.023177656738903697,0.4349605100390142,42036,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,3,3,20
-0.02400682134793678,0.433077074709245,40584,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,6,3,20
-0.02370061384589861,0.4359193021782564,41042,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,6,3,20
-0.023543260741612712,0.43320453996619174,41410,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,3,7,20
-0.0198203379075117,0.43549864625531826,49123,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,4,3,20
-0.023250133755146667,0.4335782793338741,41914,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,4,5,20
-0.023512261644447578,0.4343200405297821,41451,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,5,3,5,20
-0.020438000981514805,0.4378056202648534,47649,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,4,3,5,20
-0.02196064652143359,0.4351505031815515,44318,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,5,3,20
-0.021369622851278542,0.43649888094088735,45574,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,3,3,20
-0.022814425930152933,0.4344822741535147,42706,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,5,4,3,20
-0.021731571627260082,0.435741852008834,44827,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,4,5,20
-0.020399624459139523,0.43593936725580223,47697,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,6,5,20
-0.019908421262193908,0.43476038599934574,48912,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,6,7,20
-0.020581213468346092,0.4353028221118275,47305,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,3,7,20
-0.02009767469903732,0.4371321783302703,48427,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,3,5,20
-0.02048365611230659,0.43577547197609073,47513,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,3,5,20
-0.019546138660307657,0.4359473451860176,49834,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,3,5,3,20
-0.020518292057369145,0.43560973552115406,47414,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,5,3,20
-0.020006805716802113,0.435177200114985,48702,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,3,3,20
-0.020421082725806124,0.4372865016660729,47717,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,6,5,20
-0.019744506091180128,0.4366611248530068,49322,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,5,5,20
-0.018863829385675192,0.43627555469431256,51605,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,6,7,20
-0.01911894104594667,0.4357528729987231,50905,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,4,3,20
-0.01893530359003505,0.43687565592568117,51454,5,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,4,7,20
-0.018599501284007593,0.43774594078319007,52350,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,6,7,20
-0.018920249115035873,0.4359438219732337,51408,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,3,5,20
-0.0187221368898213,0.4350492080578195,52024,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,4,7,20
-0.017823723375813207,0.43539392609657546,54693,0,0,2,3,4,2,0,-2,-3,-3,-3,-3,-3,-3,5,5,3,20
-0.018411745201341045,0.4363124693083519,52946,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,4,3,20
-0.016914749661705007,0.436888148302437,57612,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,3,7,20
-0.01637289912524981,0.43777437639816325,59453,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,4,7,20
-0.01564481036830654,0.43867772847128433,62196,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,4,6,5,20
-0.025415109212500318,0.433547611581478,38268,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,5,4,7,20
-0.015827292583330696,0.43789521595656483,61517,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,5,3,7,20
-0.01531706868544457,0.4394161043210168,63573,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,3,4,5,20
-0.02570994958329046,0.4323560486001056,37860,5,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,5,5,5,20
-0.026796720081462028,0.43189140072142523,36317,0,0,2,3,4,2,0,-2,-2,-3,-3,-3,-3,-3,5,5,7,20
